title,publisher,author,year
"Beginning Data Science in R: Data Analysis, Visualization, and Modelling for the Data Scientist",Apress,Thomas Mailund,2017
Practical Data Science: A Guide to Building the Technology Stack for Turning Data Lakes into Business Assets,Apress,Andreas François Vermeulen,2018
Data Science Solutions on Azure: Tools and Techniques Using Databricks and MLOps,Apress,"Julian Soh, Priyanshi Singh",2020
Data Science for Healthcare: Methodologies and Applications,Springer International Publishing,"Sergio Consoli, Diego Reforgiato Recupero, Milan Petković",2019
Julia for Data Science,Technics Publications,Zacharias Voulgaris PhD [Zacharias Voulgaris PhD],2016
Data Science Essentials in Python: Collect - Organize - Explore - Predict - Value,Pragmatic Bookshelf,Dmitry Zinoviev,2016
Model-Based Clustering and Classification for Data Science: With Applications in R,Cambridge University Press,"Charles Bouveyron, Gilles Celeux, T. Brendan Murphy, Adrian E. Raftery",2019
"Python Data Analytics: Data Analysis and Science Using Pandas, matplotlib, and the Python Programming Language",Apress,Fabio Nelli (auth.),2015
"Data Science Solutions with Python: Fast and Scalable Models Using Keras, PySpark MLlib, H2O, XGBoost, and Scikit-Learn",Apress,Tshepo Chris Nokeri,2021
Process Mining: Data Science in Action,Springer-Verlag Berlin Heidelberg,Wil van der Aalst (auth.),2016
Data Science For Dummies,For Dummies,Lillian Pierson,2021
Data Science from Scratch: First Principles with Python,O'Reilly Media,Joel Grus,2019
"Data Science con Python - Dalle stringhe al machine learning, le tecniche essenziali per lavorare sui dati",Apogeo,Dmitry Zinoviev,2016
Data Science and Classification,Springer,"Vladimir Batagelj, Hans-Hermann Bock, Anuka Ferligoj, Ale iberna",2006
"Marketing Analytics: Optimize Your Business with Data Science in R, Python, and SQL",nan,"Jacobs, Dave",2016
Fundamentals of Data Structures in C,Computer Science Press,"Ellis Horowitz, Sartaj Sahni, Susan Anderson-Freed",1993
Managing Data Science: Effective Strategies To Manage Data Science Projects And Build A Sustainable Team,Packt Publishing,Kirill Dubovikov,2019
Data Visualization Guide: Clear Guide to Data Science and Visualization,nan,"Campbell, Alex [Campbell, Alex]",2021
"Beginning Data Science With Python and Jupyter: Use Powerful Industry-Standard Tools Within Jupyter and the Python Ecosystem to Unlock New, Actionable Insights From Your Data",Packt Publishing,"Alex Galea [Galea, Alex]",2018
"Functional Programming in R: Advanced Statistical Programming for Data Science, Analysis and Finance",Apress,Thomas Mailund,2017
